source,title,university,difficulty,subject,price,is_paid,rating,rating_capped_5,popularity,popularity_norm,skills,description,url,num_lectures,start_date,end_date,published_date,text
,Write A Feature Length Screenplay For Film Or Television,Michigan State University,Beginner,general,,,4.8,4.8,,,Drama Comedy peering screenwriting film Document Review dialogue creative writing Writing unix shells arts-and-humanities music-and-art,"Write a Full Length Feature Film Script In this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between. You'll learn to break down the creative process into components, and you'll discover a structured process that allows you to produce a polished and pitch-ready script by the end of the course. Completing this project will increase your confidence in your ideas and abilities, and you'll feel prepared to pitch your first script and get started on your next. This is a course designed to tap into your creativity and is based in ""Active Learning"". Most of the actual learning takes place within your own activities - that is, writing! You will learn by doing. Here is a link to a TRAILER for the course. To view the trailer, please copy and paste the link into your browser. https://vimeo.com/382067900/b78b800dc0 Learner review: ""Love the approach Professor Wheeler takes towards this course. It's to the point, easy to follow, and very informative! Would definitely recommend it to anyone who is interested in taking a Screenplay Writing course! The course curriculum is simple: We will adopt a professional writers room process in which you'll write, post your work for peer review, share feedback with your peers and revise your work with the feedback you receive from your peers. That's how we do it in the real world. You will feel as if you were in a professional writers room yet no prior experience as a writer is required. I'm a proponent of Experiential Learning (Active Learning). My lectures are short (sometimes just two minutes long) and to the point, designed in a step-by-step process essential to your success as a script writer. I will guide you but I won't ""show"" you how to write. I firmly believe that the only way to become a writer is to write, write, write. Learner Review: ""I would like to thank this course instructor. It's an amazing course"" What you'll need to get started: As mentioned above, no prior script writing experience is required. To begin with, any basic word processor will do. During week two, you can choose to download some free scriptwriting software such as Celtx or Trelby or you may choose to purchase Final Draft, the industry standard, or you can continue to use your word processor and do your own script formatting. Learner Review: ""Now I am a writer!"" If you have any concerns regarding the protection of your original work, Coursera's privacy policy protects the learner's IP and you are indeed the sole owners of your work.",https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,,,,,"Write A Feature Length Screenplay For Film Or Television Drama Comedy peering screenwriting film Document Review dialogue creative writing Writing unix shells arts-and-humanities music-and-art Write a Full Length Feature Film Script In this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between. You'll learn to break down the creative process into components, and you'll discover a structured process that allows you to produce a polished and pitch-ready script by the end of the course. Completing this project will increase your confidence in your ideas and abilities, and you'll feel prepared to pitch your first script and get started on your next. This is a course designed to tap into your creativity and is based in ""Active Learning"". Most of the actual learning takes place within your own activities - that is, writing! You will learn by doing. Here is a link to a TRAILER for the course. To view the trailer, please copy and paste the link into your browser. https://vimeo.com/382067900/b78b800dc0 Learner review: ""Love the approach Professor Wheeler takes towards this course. It's to the point, easy to follow, and very informative! Would definitely recommend it to anyone who is interested in taking a Screenplay Writing course! The course curriculum is simple: We will adopt a professional writers room process in which you'll write, post your work for peer review, share feedback with your peers and revise your work with the feedback you receive from your peers. That's how we do it in the real world. You will feel as if you were in a professional writers room yet no prior experience as a writer is required. I'm a proponent of Experiential Learning (Active Learning). My lectures are short (sometimes just two minutes long) and to the point, designed in a step-by-step process essential to your success as a script writer. I will guide you but I won't ""show"" you how to write. I firmly believe that the only way to become a writer is to write, write, write. Learner Review: ""I would like to thank this course instructor. It's an amazing course"" What you'll need to get started: As mentioned above, no prior script writing experience is required. To begin with, any basic word processor will do. During week two, you can choose to download some free scriptwriting software such as Celtx or Trelby or you may choose to purchase Final Draft, the industry standard, or you can continue to use your word processor and do your own script formatting. Learner Review: ""Now I am a writer!"" If you have any concerns regarding the protection of your original work, Coursera's privacy policy protects the learner's IP and you are indeed the sole owners of your work."
,Business Strategy: Business Model Canvas Analysis with Miro,Coursera Project Network,Beginner,business,,,4.8,4.8,,,Finance business plan persona (user experience) business model canvas Planning Business project Product Development presentation Strategy business business-strategy,"By the end of this guided project, you will be fluent in identifying and creating Business Model Canvas solutions based on previous high-level analyses and research data. This will enable you to identify and map the elements required for new products and services. Furthermore, it is essential for generating positive results for your business venture. This guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in strategy and product development with the Miro platform to explore and analyse your business propositions. We will practice critically examining results from previous analysis and research results in deriving the values for each of the business model sections.",https://www.coursera.org/learn/canvas-analysis-miro,,,,,"Business Strategy: Business Model Canvas Analysis with Miro Finance business plan persona (user experience) business model canvas Planning Business project Product Development presentation Strategy business business-strategy By the end of this guided project, you will be fluent in identifying and creating Business Model Canvas solutions based on previous high-level analyses and research data. This will enable you to identify and map the elements required for new products and services. Furthermore, it is essential for generating positive results for your business venture. This guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in strategy and product development with the Miro platform to explore and analyse your business propositions. We will practice critically examining results from previous analysis and research results in deriving the values for each of the business model sections."
,Silicon Thin Film Solar Cells,'cole Polytechnique,Advanced,general,,,4.1,4.1,,,chemistry physics Solar Energy film lambda calculus Electrical Engineering electronics energy silicon thinning physical-science-and-engineering electrical-engineering,"This course consists of a general presentation of solar cells based on silicon thin films. It is the third MOOC of the photovoltaic series of Ecole polytechnique on Coursera. The general aspects of the photovoltaic field are treated in ""Photovoltaic Solar Energy"". And the detailed description of the crystalline silicon solar cells can be found in ""Physics of Silicon Solar Cells"". After a brief presentation of solar cells operation, thin film semiconductors are described here. The general properties of disordered and crystalline semiconductors are found very different, in particular in terms of band structure and doping mechanisms. Silicon thin films, generally less than 1 'm thick, are deposited from silane plasma leading to hydrogen incorporation. The growth mechanisms are discussed, in particular the capability to prepare partially crystallized thin films which appear as a mixture of nanocrystallites embedded in an amorphous tissue. The consequences of the semiconductor properties on solar cells behavior are reviewed. The optical properties of amorphous and nanocrystalline silicon are complementary. Thus the plasma process is particularly well adapted to the preparation of multijunctions, with conversion efficiencies around 13-15 %. Furthermore plasma processes allow to prepare solar cells in large area on glass or flexible substrates. Finally, it is shown that crystalline and amorphous silicon materials can be combine into heterojunctions solar cells with high efficiency conversion (about 25 %). **This course is part of a series of 3** Photovoltaic solar energy (https://www.coursera.org/learn/photovoltaic-solar-energy/) Physics of silicon solar cells (https://www.coursera.org/learn/physics-silicon-solar-cells/) Silicon thin film solar cells",https://www.coursera.org/learn/silicon-thin-film-solar-cells,,,,,"Silicon Thin Film Solar Cells chemistry physics Solar Energy film lambda calculus Electrical Engineering electronics energy silicon thinning physical-science-and-engineering electrical-engineering This course consists of a general presentation of solar cells based on silicon thin films. It is the third MOOC of the photovoltaic series of Ecole polytechnique on Coursera. The general aspects of the photovoltaic field are treated in ""Photovoltaic Solar Energy"". And the detailed description of the crystalline silicon solar cells can be found in ""Physics of Silicon Solar Cells"". After a brief presentation of solar cells operation, thin film semiconductors are described here. The general properties of disordered and crystalline semiconductors are found very different, in particular in terms of band structure and doping mechanisms. Silicon thin films, generally less than 1 'm thick, are deposited from silane plasma leading to hydrogen incorporation. The growth mechanisms are discussed, in particular the capability to prepare partially crystallized thin films which appear as a mixture of nanocrystallites embedded in an amorphous tissue. The consequences of the semiconductor properties on solar cells behavior are reviewed. The optical properties of amorphous and nanocrystalline silicon are complementary. Thus the plasma process is particularly well adapted to the preparation of multijunctions, with conversion efficiencies around 13-15 %. Furthermore plasma processes allow to prepare solar cells in large area on glass or flexible substrates. Finally, it is shown that crystalline and amorphous silicon materials can be combine into heterojunctions solar cells with high efficiency conversion (about 25 %). **This course is part of a series of 3** Photovoltaic solar energy (https://www.coursera.org/learn/photovoltaic-solar-energy/) Physics of silicon solar cells (https://www.coursera.org/learn/physics-silicon-solar-cells/) Silicon thin film solar cells"
,Finance for Managers,IESE Business School,Intermediate,business,,,4.8,4.8,,,accounts receivable dupont analysis analysis Accounting Finance Operations Management Leadership and Management balance sheet inventory Financial Analysis business finance,"When it comes to numbers, there is always more than meets the eye. In operational finance, you will learn how to read the 'story' that the balance sheet and income statement tells about the company's operations. The insights you gain from this 'financial story' will then become a tool for short-term decision-making at the top management level relating to current assets, current liabilities and the management of working capital. Finally, by the end of the course you will understand the financial consequences of managerial decisions on operations, marketing, etc.",https://www.coursera.org/learn/operational-finance,,,,,"Finance for Managers accounts receivable dupont analysis analysis Accounting Finance Operations Management Leadership and Management balance sheet inventory Financial Analysis business finance When it comes to numbers, there is always more than meets the eye. In operational finance, you will learn how to read the 'story' that the balance sheet and income statement tells about the company's operations. The insights you gain from this 'financial story' will then become a tool for short-term decision-making at the top management level relating to current assets, current liabilities and the management of working capital. Finally, by the end of the course you will understand the financial consequences of managerial decisions on operations, marketing, etc."
,Retrieve Data using Single-Table SQL Queries,Coursera Project Network,Beginner,database,,,4.6,4.6,,,Data Analysis select (sql) database management systems online shopping table (database) data retrieval Databases web page numbers (spreadsheet) SQL information-technology data-management,"In this course you'll learn how to effectively retrieve data from a relational database table using the SQL language. We all know that most computer systems rely on at least one database to store data. Your tax information is stored in the database used by the Internal Revenue Service. Your phone stores your contacts' names, addresses, email addresses, and phone numbers in a database. If you shop online, you're viewing photos, descriptions, and prices of products that are stored in a database. Database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. It's important to note that the main reason they go to all that work is so that we can get the data back out again when we need it! That's called 'data retrieval'. Data is retrieved or read from a relational database by using a language called SQL to query (or question) the database. SQL is referred to as 'the language of relational databases'. It can be used by itself or embedded in programs to retrieve data. Once the data is retrieved, it can be displayed on a web page or PC application, or even printed on paper. You'll be practicing writing SQL queries using SQLiteStudio. Next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that it's likely that an SQL query was used behind the scenes to fetch that data and pop it up on your screen. By the end of this course, you'll even have a pretty good idea what the query might have looked like! Note: This course works best for learners who are based in the North America region. We're currently working on providing the same experience in other regions.",https://www.coursera.org/learn/single-table-sql-queries,,,,,"Retrieve Data using Single-Table SQL Queries Data Analysis select (sql) database management systems online shopping table (database) data retrieval Databases web page numbers (spreadsheet) SQL information-technology data-management In this course you'll learn how to effectively retrieve data from a relational database table using the SQL language. We all know that most computer systems rely on at least one database to store data. Your tax information is stored in the database used by the Internal Revenue Service. Your phone stores your contacts' names, addresses, email addresses, and phone numbers in a database. If you shop online, you're viewing photos, descriptions, and prices of products that are stored in a database. Database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. It's important to note that the main reason they go to all that work is so that we can get the data back out again when we need it! That's called 'data retrieval'. Data is retrieved or read from a relational database by using a language called SQL to query (or question) the database. SQL is referred to as 'the language of relational databases'. It can be used by itself or embedded in programs to retrieve data. Once the data is retrieved, it can be displayed on a web page or PC application, or even printed on paper. You'll be practicing writing SQL queries using SQLiteStudio. Next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that it's likely that an SQL query was used behind the scenes to fetch that data and pop it up on your screen. By the end of this course, you'll even have a pretty good idea what the query might have looked like! Note: This course works best for learners who are based in the North America region. We're currently working on providing the same experience in other regions."
,Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,Beginner,general,,,4.7,4.7,,,maintenance test case test automation screenshot project helper class selenium reusability debugging php computer-science software-development,"Selenium is one of the most widely used functional UI automation testing tools and TestNG is a brilliant testing framework. Test automation frameworks are a set of guidelines or rules for writing test cases. They can reduce maintenance costs and testing efforts and will provide a higher return on investment (ROI) for teams looking to optimize their processes. Testing guidelines include coding standards, test-data management, defining object repositories, reporting guidelines, and logging strategies. Through hands-on, practical experience, you will go through concepts writing reusable and structure code which is easy to maintain and understand, creating helper classes or utilities, write effective testcases, and generating reports and logs.",https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng,,,,,"Building Test Automation Framework using Selenium and TestNG maintenance test case test automation screenshot project helper class selenium reusability debugging php computer-science software-development Selenium is one of the most widely used functional UI automation testing tools and TestNG is a brilliant testing framework. Test automation frameworks are a set of guidelines or rules for writing test cases. They can reduce maintenance costs and testing efforts and will provide a higher return on investment (ROI) for teams looking to optimize their processes. Testing guidelines include coding standards, test-data management, defining object repositories, reporting guidelines, and logging strategies. Through hands-on, practical experience, you will go through concepts writing reusable and structure code which is easy to maintain and understand, creating helper classes or utilities, write effective testcases, and generating reports and logs."
,Doing Business in China Capstone,The Chinese University of Hong Kong,Advanced,business,,,3.3,3.3,,,marketing plan Planning Marketing consumption (economics) wait (system call) business plan strategic planning audience project Writing business business-strategy,"Doing Business in China Capstone enables you to apply your skills to real business challenges. You'll use your newly earned business skills to identify, explore and evaluate a real opportunity involving products. In this capstone, you are the business consultant working for a well-established 'HON / wellness' company. The CEO has given you a task. You have to bring a new overseas product into China.",https://www.coursera.org/learn/doing-business-in-china-capstone,,,,,"Doing Business in China Capstone marketing plan Planning Marketing consumption (economics) wait (system call) business plan strategic planning audience project Writing business business-strategy Doing Business in China Capstone enables you to apply your skills to real business challenges. You'll use your newly earned business skills to identify, explore and evaluate a real opportunity involving products. In this capstone, you are the business consultant working for a well-established 'HON / wellness' company. The CEO has given you a task. You have to bring a new overseas product into China."
,"Programming Languages, Part A",University of Washington,Intermediate,programming,,,4.9,4.9,,,inference ml (programming language) higher-order function functional programming type inference pattern matching euler's totient function language ?-recursive function Computer Programming computer-science software-development,"This course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. The course uses the languages ML, Racket, and Ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language 'fits together' to make you more effective programming in any language -- and in learning new ones. This course is neither particularly theoretical nor just about programming specifics -- it will give you a framework for understanding how to use language constructs effectively and how to design correct and elegant programs. By using different languages, you will learn to think more deeply than in terms of the particular syntax of one language. The emphasis on functional programming is essential for learning how to write robust, reusable, composable, and elegant programs. Indeed, many of the most important ideas in modern languages have their roots in functional programming. Get ready to learn a fresh and beautiful way to look at software and how to have fun building it. The course assumes some prior experience with programming, as described in more detail in the first module. The course is divided into three Coursera courses: Part A, Part B, and Part C. As explained in more detail in the first module of Part A, the overall course is a substantial amount of challenging material, so the three-part format provides two intermediate milestones and opportunities for a pause before continuing. The three parts are designed to be completed in order and set up to motivate you to continue through to the end of Part C. The three parts are not quite equal in length: Part A is almost as substantial as Part B and Part C combined. Week 1 of Part A has a more detailed list of topics for all three parts of the course, but it is expected that most course participants will not (yet!) know what all these topics mean.",https://www.coursera.org/learn/programming-languages,,,,,"Programming Languages, Part A inference ml (programming language) higher-order function functional programming type inference pattern matching euler's totient function language ?-recursive function Computer Programming computer-science software-development This course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. The course uses the languages ML, Racket, and Ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language 'fits together' to make you more effective programming in any language -- and in learning new ones. This course is neither particularly theoretical nor just about programming specifics -- it will give you a framework for understanding how to use language constructs effectively and how to design correct and elegant programs. By using different languages, you will learn to think more deeply than in terms of the particular syntax of one language. The emphasis on functional programming is essential for learning how to write robust, reusable, composable, and elegant programs. Indeed, many of the most important ideas in modern languages have their roots in functional programming. Get ready to learn a fresh and beautiful way to look at software and how to have fun building it. The course assumes some prior experience with programming, as described in more detail in the first module. The course is divided into three Coursera courses: Part A, Part B, and Part C. As explained in more detail in the first module of Part A, the overall course is a substantial amount of challenging material, so the three-part format provides two intermediate milestones and opportunities for a pause before continuing. The three parts are designed to be completed in order and set up to motivate you to continue through to the end of Part C. The three parts are not quite equal in length: Part A is almost as substantial as Part B and Part C combined. Week 1 of Part A has a more detailed list of topics for all three parts of the course, but it is expected that most course participants will not (yet!) know what all these topics mean."
,The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,The State University of New York,Intermediate,general,,,4.3,4.3,,,Planning Peer Review fundraising strategic planning resource concept testing leadership measurement performance evaluation business leadership-and-management,"This course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations. While the course has been developed with North American culture in mind, we do appreciate that in other parts of the world, the nature of the roles and responsibilities of boards of directors may not be the same. Nevertheless,it is our hope that much of the course content will still be of value to those in other parts of the world. To learn more about this course, please watch the overview video by copying and pasting the following link into your web browser: https://goo.gl/SXZEZS. Keywords: Nonprofit; Nonprofit Sector; Voluntary Sector; Nonprofit Organizations, Non-Governmental Organizations, Volunteer Organizations, Leadership, Management, Governance, Board, Board of Directors, Performance, Effectiveness Course 2 Overview: Week 1: Some of the questions to be explored this week are: What is the board's role in planning for the organization's future and why is it important for nonprofit organizations to do it? What is strategic planning and what can boards do to carry this out effectively? Week 2: This week's questions: What is the board's role in assessing the performance of the organization? Why is performance assessment important? Why do many boards have difficulty meeting their performance assessment responsibilities? Week 3: This week's questions: What are the elements of the fundraising/resource development process? What is the board's role in ensuring the organization has adequate funding? What information should be in a resource development plan? Week 4: At this stage, you are asked to review the course content, submit a written assignment (known lightheartedly as a BEAR (Board Effectiveness Readiness Assessment), and take two multiple choice Readiness Assurance Tests (known similarly as RATs). One RAT will assess knowledge and reading comprehension and the other will test application of knowledge within a practical case. Week 5: We will encourage you to discuss the RATs in the discussion forums and take them again should you wish to change any of your answers based on the information exchanged.",https://www.coursera.org/learn/nonprofit-gov-2,,,,,"The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process Planning Peer Review fundraising strategic planning resource concept testing leadership measurement performance evaluation business leadership-and-management This course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations. While the course has been developed with North American culture in mind, we do appreciate that in other parts of the world, the nature of the roles and responsibilities of boards of directors may not be the same. Nevertheless,it is our hope that much of the course content will still be of value to those in other parts of the world. To learn more about this course, please watch the overview video by copying and pasting the following link into your web browser: https://goo.gl/SXZEZS. Keywords: Nonprofit; Nonprofit Sector; Voluntary Sector; Nonprofit Organizations, Non-Governmental Organizations, Volunteer Organizations, Leadership, Management, Governance, Board, Board of Directors, Performance, Effectiveness Course 2 Overview: Week 1: Some of the questions to be explored this week are: What is the board's role in planning for the organization's future and why is it important for nonprofit organizations to do it? What is strategic planning and what can boards do to carry this out effectively? Week 2: This week's questions: What is the board's role in assessing the performance of the organization? Why is performance assessment important? Why do many boards have difficulty meeting their performance assessment responsibilities? Week 3: This week's questions: What are the elements of the fundraising/resource development process? What is the board's role in ensuring the organization has adequate funding? What information should be in a resource development plan? Week 4: At this stage, you are asked to review the course content, submit a written assignment (known lightheartedly as a BEAR (Board Effectiveness Readiness Assessment), and take two multiple choice Readiness Assurance Tests (known similarly as RATs). One RAT will assess knowledge and reading comprehension and the other will test application of knowledge within a practical case. Week 5: We will encourage you to discuss the RATs in the discussion forums and take them again should you wish to change any of your answers based on the information exchanged."
,Business Russian Communication. Part 3,Saint Petersburg State University,Intermediate,business,,,,,,,Russian market (economics) tax exemption cooperation Communication Taxes adjective h.e.a.r. listening c dynamic memory allocation language-learning other-languages,"Russian is considered to be one of the most difficult languages in the world, and many learners struggle to master its grammar and pronunciation. This course is aimed at those who wants to work in Russia, do business with Russian partners or study on business-related majors in Russian. In three units of this intensive course learners are going to find out how to discuss terms of cooperationand prices, describe market situation and make a successful presentation of their companies, goods or services. The course is the third part of Business Russian Communication series of courses offered by St Petersburg State University. This part introduces such grammar topics as numerals and nouns in the Genitive case, Genitive case with prepositions, verbs of motion with unpaired prefixes and declension of adjectives. Learners can practice their skills and test themselves in Grammar quiz section. The course provides extensive vocabulary with more than 100 new words and conversational phrases which learners can use in their everyday communication on professional or informal topics. Each unit of the course contains dialogues, which are extremely useful for those who wants to listen to original Russian speech and get used to the pace and intonations of Russian language. Scripts and exercises are provided for all dialogues of the course. In the end of the course learners will have a chance to use the material leant and assess their progress while preparing the Final Assignment. This course is aimed at those who already achieved A2-A2+ level in Russian.",https://www.coursera.org/learn/business-russian-communication-3,,,,,"Business Russian Communication. Part 3 Russian market (economics) tax exemption cooperation Communication Taxes adjective h.e.a.r. listening c dynamic memory allocation language-learning other-languages Russian is considered to be one of the most difficult languages in the world, and many learners struggle to master its grammar and pronunciation. This course is aimed at those who wants to work in Russia, do business with Russian partners or study on business-related majors in Russian. In three units of this intensive course learners are going to find out how to discuss terms of cooperationand prices, describe market situation and make a successful presentation of their companies, goods or services. The course is the third part of Business Russian Communication series of courses offered by St Petersburg State University. This part introduces such grammar topics as numerals and nouns in the Genitive case, Genitive case with prepositions, verbs of motion with unpaired prefixes and declension of adjectives. Learners can practice their skills and test themselves in Grammar quiz section. The course provides extensive vocabulary with more than 100 new words and conversational phrases which learners can use in their everyday communication on professional or informal topics. Each unit of the course contains dialogues, which are extremely useful for those who wants to listen to original Russian speech and get used to the pace and intonations of Russian language. Scripts and exercises are provided for all dialogues of the course. In the end of the course learners will have a chance to use the material leant and assess their progress while preparing the Final Assignment. This course is aimed at those who already achieved A2-A2+ level in Russian."
