title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Write A Feature Length Screenplay For Film Or Television,Beginner,Michigan State University,,4.8,,,,Drama Comedy peering screenwriting film Document Review dialogue creative writing Writing unix shells arts-and-humanities music-and-art,coursera
Business Strategy: Business Model Canvas Analysis with Miro,Beginner,Coursera Project Network,,4.8,,,,Finance business plan persona (user experience) business model canvas Planning Business project Product Development presentation Strategy business business-strategy,coursera
Silicon Thin Film Solar Cells,Advanced,'cole Polytechnique,,4.1,,,,chemistry physics Solar Energy film lambda calculus Electrical Engineering electronics energy silicon thinning physical-science-and-engineering electrical-engineering,coursera
Finance for Managers,Intermediate,IESE Business School,,4.8,,,,accounts receivable dupont analysis analysis Accounting Finance Operations Management Leadership and Management balance sheet inventory Financial Analysis business finance,coursera
Retrieve Data using Single-Table SQL Queries,Beginner,Coursera Project Network,,4.6,,,,Data Analysis select (sql) database management systems online shopping table (database) data retrieval Databases web page numbers (spreadsheet) SQL information-technology data-management,coursera
Building Test Automation Framework using Selenium and TestNG,Beginner,Coursera Project Network,,4.7,,,,maintenance test case test automation screenshot project helper class selenium reusability debugging php computer-science software-development,coursera
Doing Business in China Capstone,Advanced,The Chinese University of Hong Kong,,3.3,,,,marketing plan Planning Marketing consumption (economics) wait (system call) business plan strategic planning audience project Writing business business-strategy,coursera
"Programming Languages, Part A",Intermediate,University of Washington,,4.9,,,,inference ml (programming language) higher-order function functional programming type inference pattern matching euler's totient function language ?-recursive function Computer Programming computer-science software-development,coursera
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,Intermediate,The State University of New York,,4.3,,,,Planning Peer Review fundraising strategic planning resource concept testing leadership measurement performance evaluation business leadership-and-management,coursera
Business Russian Communication. Part 3,Intermediate,Saint Petersburg State University,,,,,,Russian market (economics) tax exemption cooperation Communication Taxes adjective h.e.a.r. listening c dynamic memory allocation language-learning other-languages,coursera
Agile Projects: Developing Tasks with Taiga,Beginner,Coursera Project Network,,4.0,,,,project modeling Project Management agile management user story presentation Product Development Leadership and Management documents Web Design business business-strategy,coursera
Esports Management Capstone Project,Beginner,"University of California, Irvine",,4.4,,,,Average Planning Leadership and Management Peer Review Strategy peering evaluation Recruiting project interest business leadership-and-management,coursera
Hacking and Patching,Advanced,University of Colorado System,,3.4,,,,Security Design design pattern web application internet security SQL select (sql) metasploit project penetration test security password cracking computer-science computer-security-and-networks,coursera
Business Statistics and Analysis Capstone,Beginner,Rice University,,4.7,,,,Statistical Analysis Microsoft Excel business analytics Regression Analysis General Statistics Data Analysis Regression analytics analysis Business Analysis data-science data-analysis,coursera
Grab Data Fast with Vertical and Horizontal LOOKUP,Beginner,Coursera Project Network,,4.5,,,,evaluation software presentation lookup table Spreadsheet Software Benefits spreadsheet project index fasting business business-essentials,coursera
Global Health: An Interdisciplinary Overview,Beginner,University of Geneva,,4.6,,,,sustainability research and development Communication health system Leadership and Management health research global disease drug development public health life-sciences public-health,coursera
Python Programming Essentials,Beginner,Rice University,,4.8,,,,semantics Python Programming coding conventions codeskulptor Problem Solving syntax Computer Programming programming style python syntax and semantics euler's totient function computer-science software-development,coursera
Creating Dashboards and Storytelling with Tableau,Advanced,"University of California, Davis",,4.6,,,,neuroscience Data Visualization Storytelling tableau software business analytics checklists software method of analytic tableaux javascript syntax audience data-science data-analysis,coursera
Parallel programming,Beginner,'cole Polytechnique F'd'rale de Lausanne,,4.4,,,,Data Structures parallel algorithm openfabrics alliance task parallelism unified parallel c Algorithms data parallelism scala programming parallel computing Computer Programming computer-science software-development,coursera
Recommendation Systems with TensorFlow on GCP,Advanced,Google Cloud,,4.2,,,,systems architecture Cloud Computing Google Cloud Platform Tensorflow Deep Learning Cloud Platforms Machine Learning matrices Artificial Neural Networks recommender systems data-science machine-learning,coursera
The Changing Arctic,,National Research Tomsk State University,,4.3,,,,Human Learning Geology curiosity methane Problem Solving plant biologist resource dam volatile organic compound life-sciences basic-science,coursera
COVID-19 - A clinical update,Beginner,University of Florida,,4.7,,,,disease mechanical ventilation vaccine outbreak epidemic medical history intubation Epidemics patient social distancing life-sciences patient-care,coursera
How to Create Text Effects in GIMP,Beginner,Coursera Project Network,,4.7,,,,pointing device gesture r&d management Gradient lambda lifting ordered pair english grammar top-down and bottom-up design standing ovation path (variable) project computer-science design-and-product,coursera
Preparing for the Google Cloud Professional Data Engineer Exam,Beginner,Google Cloud,,4.5,,,,business requirements Cloud Computing Google Cloud Platform information engineering Cloud Platforms google cloud dataproc dataflow Databases bigquery Machine Learning information-technology cloud-computing,coursera
Multiple Regression Analysis in Public Health,Intermediate,Johns Hopkins University,,4.6,,,,Regression Analysis Regression public health Confounding interaction (statistics) Estimation linear regression Confidence Interval odds ratio Logistic Regression life-sciences health-informatics,coursera
General Pathophysiology,Intermediate,Saint Petersburg State University,,4.0,,,,medicine biomedical sciences microcirculation physiology endocrinology biochemistry inflammations pathophysiology pathology internal medicine life-sciences basic-science,coursera
Population Health: Alternative Payment Models,Advanced,Universiteit Leiden,,4.9,,,,incentive Behavioral Economics loss aversion modeling enabling relative change and difference Financial Accounting desire Payments Risk life-sciences healthcare-management,coursera
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Advanced,Coursera Project Network,,5.0,,,,representational state transfer uniform resource locator Cloud Computing web application ordered pair hypertext transfer protocol virtual private server web application programming interfaces Switches information-technology cloud-computing,coursera
"Philosophy, Science and Religion: Philosophy and Religion",Intermediate,The University of Edinburgh,,4.6,,,,ordered pair arts and humanities virtue spirituality philosophy cognitive science bible belief religion evolution arts-and-humanities philosophy,coursera
Poverty & Population: How Demographics Shape Policy,Advanced,Columbia University,,4.9,,,,education Billing political science oppression Population inflation unemployment market (economics) demography social work social-sciences governance-and-society,coursera
